recencia_dias,frecuencia,valor_total,avg_review_score,num_categorias,avg_delivery_days,churn
173,1,116.94,3.0,1,36.0,1
417,1,54.51,5.0,1,7.0,1
83,1,54.58,1.0,1,7.0,1
13,1,27.23,5.0,1,14.0,1
285,1,27.07,5.0,1,4.0,1
316,1,77.57,5.0,1,15.0,1
237,1,510.81,5.0,1,10.0,1
188,1,46.1,1.0,1,27.0,1
59,1,112.32,4.0,1,25.0,1
177,1,335.98,1.0,1,29.0,1
365,1,62.47,1.0,1,12.0,1
224,2,372.62,5.0,2,14.0,1
187,1,129.92,4.0,1,16.0,1
249,1,63.6,5.0,1,5.0,1
474,1,192.55,5.0,1,5.0,1
58,1,192.69,4.0,1,6.0,1
211,1,414.45,5.0,1,8.0,1
183,1,66.5,5.0,1,34.0,1
59,1,80.56,4.0,1,13.0,1
434,1,115.9,3.0,1,10.0,1
136,1,631.71,3.0,1,37.0,1
82,1,242.59,4.0,1,18.0,1
23,1,138.52,4.0,1,15.0,1
15,1,51.42,5.0,1,5.0,1
186,1,96.8,5.0,1,2.0,1
14,1,28.03,5.0,1,19.0,1
101,1,132.05,4.0,0,7.0,1
252,1,166.4,5.0,1,12.0,1
185,1,44.71,2.0,1,3.0,1
93,1,32.38,5.0,1,13.0,1
24,1,23.36,5.0,1,3.0,1
439,1,80.56,5.0,1,9.0,1
330,1,557.62,2.0,1,21.0,1
140,1,361.17,5.0,1,20.0,1
314,1,73.38,5.0,1,18.0,1
0,1,39.16,5.0,1,5.0,1
308,1,84.23,5.0,1,7.0,1
287,1,87.64,5.0,1,19.0,1
598,1,74.74,5.0,1,37.0,1
13,1,21.16,3.0,1,4.0,1
28,1,199.8,5.0,1,6.0,1
218,1,33.0,5.0,1,14.0,1
403,1,231.18,1.0,1,17.0,1
187,1,241.93,1.0,1,34.0,1
19,1,74.41,5.0,1,6.0,1
454,1,70.49,4.0,0,11.0,1
242,1,146.68,4.0,1,11.0,1
406,1,155.39,3.0,1,15.0,1
362,1,108.69,1.0,1,25.0,1
441,1,385.3,1.0,1,12.0,1
197,1,21.77,1.0,1,6.0,1
168,1,58.09,5.0,1,20.0,1
239,1,53.0,3.0,1,13.0,1
434,1,412.4,3.0,1,5.0,1
21,1,157.24,5.0,1,8.0,1
307,1,85.14,3.0,1,11.0,1
55,1,202.31,1.0,1,21.0,1
66,1,179.04,4.0,1,19.0,1
66,1,67.36,3.0,1,22.0,1
400,1,231.18,5.0,1,7.0,1
280,1,167.42,3.0,1,13.0,1
166,1,135.08,4.0,1,23.0,1
233,1,73.15,5.0,1,9.0,1
188,1,394.96,5.0,1,4.0,1
129,1,63.27,5.0,1,8.0,1
450,1,417.19,3.0,1,21.0,1
249,1,180.1,4.0,0,7.0,1
55,1,489.83,4.0,1,10.0,1
139,1,74.94,5.0,0,12.0,1
58,1,47.83,5.0,1,14.0,1
598,1,27.86,2.0,1,20.0,1
173,1,59.69,5.0,1,13.0,1
152,1,218.35,5.0,1,32.0,1
43,1,92.9,5.0,1,6.0,1
476,1,76.25,5.0,1,24.0,1
84,1,181.19,3.0,1,29.0,1
262,1,101.84,1.0,1,23.0,1
241,1,77.66,4.0,1,14.0,1
468,1,36.02,5.0,1,13.0,1
242,1,108.93,5.0,1,10.0,1
259,1,191.99,4.0,1,10.0,1
321,1,1172.26,5.0,1,13.0,1
294,1,57.82,5.0,1,10.0,1
136,1,150.17,5.0,1,4.0,1
62,1,24.37,4.0,1,14.0,1
72,1,110.17,5.0,2,3.0,1
99,1,43.59,4.0,1,13.0,1
70,1,54.23,5.0,1,21.0,1
229,1,108.77,3.0,1,12.0,1
191,1,77.57,5.0,1,17.0,1
82,1,99.43,1.0,1,23.0,1
98,1,26.68,5.0,1,6.0,1
105,1,43.47,5.0,1,8.0,1
236,1,98.22,5.0,1,8.0,1
302,1,112.13,4.0,1,8.0,1
487,1,147.9,5.0,1,3.0,1
334,1,92.05,5.0,1,9.0,1
86,1,82.03,2.0,1,36.0,1
80,1,164.98,1.0,1,56.0,1
429,1,120.97,1.0,1,14.0,1
168,1,79.17,4.0,1,5.0,1
185,1,200.68,5.0,1,21.0,1
177,1,73.03,4.0,1,3.0,1
39,1,83.75,2.0,1,11.0,1
22,2,187.17000000000002,5.0,2,15.0,1
323,1,231.27,4.0,1,11.0,1
138,1,49.4,5.0,1,17.0,1
15,1,827.3,3.0,1,15.0,1
343,2,431.97,4.0,2,16.5,1
108,1,161.69,4.0,1,31.0,1
45,1,355.98,5.0,1,6.0,1
101,1,124.62,4.0,1,1.0,1
299,1,121.24,5.0,1,18.0,1
305,1,67.62,5.0,1,5.0,1
402,1,79.09,5.0,1,10.0,1
374,1,155.37,5.0,0,19.0,1
176,1,39.59,4.0,1,21.0,1
160,1,180.26,5.0,1,13.0,1
141,1,40.0,4.0,1,3.0,1
331,1,72.05,4.0,1,8.0,1
230,1,92.81,5.0,1,10.0,1
137,1,170.53,5.0,1,15.0,1
40,1,112.68,3.0,1,37.0,1
188,1,85.14,4.0,1,14.0,1
72,1,58.83,5.0,0,14.0,1
95,1,26.73,5.0,1,1.0,1
140,1,251.26,4.0,1,17.0,1
238,1,309.07,5.0,1,13.0,1
493,1,374.28,5.0,1,9.0,1
175,1,162.65,4.0,1,4.0,1
85,1,70.77,5.0,1,21.0,1
185,1,69.12,1.0,1,42.0,1
199,1,176.07,1.0,1,28.0,1
15,1,635.75,5.0,1,21.0,1
272,1,111.02,5.0,1,17.0,1
289,1,57.89,5.0,1,6.0,0
200,1,56.63,3.0,1,23.0,1
99,1,204.87,5.0,1,22.0,1
26,1,233.07,4.0,1,16.0,1
16,1,1024.2,4.0,1,31.0,1
139,1,133.05,5.0,1,12.0,1
370,1,31.35,4.0,1,13.0,1
38,1,107.35,5.0,1,3.0,1
9,1,88.22,5.0,1,14.0,1
228,1,854.22,5.0,1,7.0,1
253,1,188.72,5.0,1,7.0,1
433,1,829.74,5.0,1,16.0,1
72,1,27.23,1.0,1,42.0,1
175,2,190.75,3.5,2,14.5,1
416,1,35.86,3.0,1,6.0,1
109,1,1830.9,5.0,1,15.0,1
48,1,67.36,5.0,1,11.0,1
142,1,133.49,1.0,1,13.0,1
188,1,74.36,4.0,1,18.0,1
286,1,114.44,1.0,1,11.0,1
364,1,53.0,3.0,1,8.0,1
85,2,392.28,4.0,2,13.5,1
490,1,110.7,5.0,1,12.0,1
288,1,99.33,5.0,1,8.0,1
58,1,131.62,5.0,0,2.0,1
335,1,261.24,5.0,1,7.0,1
94,1,96.01,4.0,1,20.0,1
179,1,72.54,5.0,1,32.0,1
20,1,59.22,4.0,1,21.0,1
320,1,105.89,4.0,1,13.0,1
137,1,42.58,5.0,1,2.0,1
219,1,50.87,5.0,1,5.0,1
134,1,39.61,5.0,1,20.0,1
172,1,116.36,5.0,1,18.0,1
85,1,154.28,5.0,1,8.0,1
25,1,47.75,5.0,1,33.0,1
49,1,125.97,5.0,1,13.0,1
28,1,46.56,5.0,1,14.0,1
266,1,168.23,5.0,1,17.0,1
147,1,208.08,5.0,1,26.0,1
242,1,1755.21,4.0,1,7.0,1
71,1,86.37,5.0,1,11.0,1
234,1,41.09,5.0,1,8.0,1
384,1,32.09,5.0,1,11.0,1
96,1,156.19,5.0,1,11.0,1
397,1,129.37,5.0,1,15.0,1
65,1,105.63,4.0,1,21.0,1
243,1,69.45,4.0,1,34.0,1
465,1,1290.79,2.0,1,30.0,1
47,1,206.11,5.0,1,9.0,1
89,1,20.75,4.0,1,6.0,1
105,1,68.0,1.0,1,28.0,1
250,1,369.69,5.0,1,10.0,1
141,1,203.57,5.0,1,12.0,1
69,1,1040.35,3.0,1,33.0,1
386,1,120.30000000000001,5.0,1,12.0,1
355,1,142.96,4.0,1,15.0,1
77,1,164.51,5.0,1,4.0,1
2,1,42.79,5.0,1,10.0,1
87,1,73.2,1.0,1,18.0,1
277,1,171.02,5.0,1,5.0,1
136,1,377.27,4.0,1,39.0,1
171,1,155.03,2.0,2,15.0,1
108,1,110.91,5.0,1,10.0,1
501,2,338.46,5.0,2,11.0,1
52,1,245.57,5.0,1,4.0,1
214,1,156.36,5.0,1,8.0,1
457,1,71.71,5.0,1,12.0,1
11,1,71.56,3.0,1,2.0,1
241,1,69.41,5.0,1,8.0,1
136,1,36.84,3.0,1,38.0,1
259,1,142.23,4.0,1,6.0,1
181,1,44.69,5.0,1,16.0,1
327,1,30.49,5.0,1,6.0,1
405,1,130.02,4.0,1,10.0,1
187,1,65.62,2.0,1,35.0,1
120,1,21.43,5.0,1,2.0,0
188,1,42.0,4.0,1,19.0,1
250,1,83.59,4.0,1,11.0,1
233,1,223.82,5.0,1,21.0,1
54,1,69.31,5.0,1,8.0,1
206,1,126.92,5.0,1,3.0,1
302,1,52.77,5.0,1,5.0,1
246,1,56.13,4.0,1,5.0,1
233,1,200.93,1.0,1,12.0,1
87,1,23.82,4.0,1,14.0,1
163,1,72.14,5.0,1,7.0,1
50,1,283.62,1.0,1,62.0,1
176,1,24.69,5.0,1,11.0,1
15,1,149.65,5.0,1,17.0,1
188,1,127.92,3.0,1,12.0,1
293,1,217.02,3.0,1,7.0,1
44,1,147.36,5.0,1,14.0,1
338,1,50.5,3.0,1,5.0,1
25,1,182.34,3.0,1,3.0,1
133,1,154.36,1.0,1,13.0,1
228,1,68.02,5.0,1,8.0,1
195,1,168.2,5.0,1,16.0,1
170,1,56.78,5.0,1,3.0,1
454,1,610.59,4.0,1,16.0,1
36,1,227.47,3.0,1,13.0,1
384,1,77.66,5.0,1,10.0,1
447,1,186.61,5.0,1,11.0,1
136,1,180.36,5.0,1,14.0,1
169,1,27.78,5.0,0,6.0,1
234,1,47.72,2.0,1,17.0,1
269,1,137.99,4.0,1,15.0,1
180,1,503.68,3.0,1,6.0,1
188,1,66.67,5.0,1,24.0,1
43,1,81.5,5.0,1,8.0,1
182,1,85.54,4.0,1,9.0,1
188,1,206.92,1.0,1,26.0,1
73,1,1672.06,5.0,1,7.0,1
349,1,126.22,4.0,1,11.0,1
25,1,339.09,5.0,1,8.0,1
260,1,216.83,5.0,1,12.0,1
375,1,68.3,3.0,1,15.0,1
129,1,46.78,4.0,1,12.0,0
20,1,162.16,3.0,1,11.0,1
217,1,51.09,5.0,1,8.0,1
104,1,103.14,5.0,1,7.0,1
411,1,864.6,5.0,0,17.0,1
470,1,86.81,5.0,1,6.0,1
23,1,51.79,5.0,1,3.0,1
358,1,38.11,5.0,1,12.0,1
128,1,472.41,5.0,1,7.0,1
185,1,175.87,5.0,1,17.0,1
207,1,91.1,2.0,2,12.0,1
358,1,103.55,4.0,1,13.0,1
43,1,57.89,5.0,1,1.0,1
68,1,76.97,5.0,1,10.0,1
326,1,119.45,5.0,1,7.0,1
45,1,94.56,5.0,1,7.0,1
81,1,167.92,4.0,1,10.0,1
86,1,1736.3,4.0,1,10.0,1
186,1,98.81,2.0,1,41.0,1
